setting,model_family,method,coverage_mean,coverage_sd,coverage_error_mean,avg_length_mean,avg_length_sd,median_length_mean,max_abs_cond_error_mean,mean_abs_cond_error_mean,worst_undercoverage_mean,worst_overcoverage_mean,pi_upper_max_abs_cond_error_mean,pi_upper_mean_abs_cond_error_mean,pi_upper_worst_undercoverage_mean,pi_upper_worst_overcoverage_mean,mode_entropy_max_abs_cond_error_mean,mode_entropy_mean_abs_cond_error_mean,mode_entropy_worst_undercoverage_mean,mode_entropy_worst_overcoverage_mean,mode_margin_max_abs_cond_error_mean,mode_margin_mean_abs_cond_error_mean,mode_margin_worst_undercoverage_mean,mode_margin_worst_overcoverage_mean,mode_separation_max_abs_cond_error_mean,mode_separation_mean_abs_cond_error_mean,mode_separation_worst_undercoverage_mean,mode_separation_worst_overcoverage_mean,length_reduction_vs_abs_pct
homoskedastic,rf,blended normalized residual gamma=0.50,0.9042222222222223,0.005388602512436517,0.004222222222222201,0.8586477684504539,0.009858118941867588,0.8557967563799936,0.0046666666666666705,0.0046666666666666705,0.004222222222222201,0.004222222222222201,,,,,,,,,,,,,,,,,-0.32307382620891933
homoskedastic,rf,blended normalized residual gamma=0.25,0.906,0.006359594676112959,0.005999999999999968,0.8640305535030105,0.009066530571903488,0.8598345092302319,0.005999999999999968,0.005999999999999968,0.005999999999999968,0.005999999999999968,,,,,,,,,,,,,,,,,-0.9519900850757969
homoskedastic,rf,stabilized normalized residual,0.9071111111111111,0.007190528749939307,0.007111111111111105,0.8724824991753796,0.011126725142336561,0.8669641815101224,0.007111111111111105,0.007111111111111105,0.007111111111111105,0.007111111111111105,,,,,,,,,,,,,,,,,-1.939502311648498
homoskedastic,rf,locally normalized residual,0.9051111111111111,0.008802356586817037,0.005111111111111066,0.8794110699296424,0.006877708533347509,0.8725476368161944,0.006888888888888871,0.006888888888888871,0.005111111111111066,0.005111111111111066,,,,,,,,,,,,,,,,,-2.7490257749708467
multimodal,cqr_gbrt,conditional two-mode density level set,0.904,0.016000000000000014,0.0040000000000000036,1.819801578771559,0.04887625397069599,1.8197157206362984,0.12872340425531917,0.07574856828611522,-0.12872340425531917,0.09822695035460989,0.04846398907725565,0.023244491220085702,-0.03514999810369024,0.030604543558235647,0.06438350969014299,0.023998748435544424,-0.04941024765805746,0.034292866082603256,0.06438350969014299,0.023998748435544424,-0.04941024765805746,0.034292866082603256,0.05728182955967687,0.024768176129252473,-0.043873023097053175,0.03761140819964348,22.397584163573143
multimodal,cqr_gbrt,conformalized quantile regression,0.8886666666666666,0.009955456348712052,-0.011333333333333343,2.2660600941938167,0.023314604876721764,2.2506893592642956,0.05660674327758183,0.02622809762202755,-0.05660674327758183,0.027304964539007104,,,,,,,,,,,,,,,,,3.367630959706963
multimodal,cqr_gbrt,absolute residual,0.8937777777777778,0.010335125292652016,-0.00622222222222224,2.345032121947597,0.018108457849359157,2.345032121947597,0.09001972162172416,0.04197671331588728,-0.09001972162172416,0.06797132779610875,,,,,,,,,,,,,,,,,0.0
multimodal,krr,conditional two-mode density level set,0.904,0.016000000000000014,0.0040000000000000036,1.819801578771559,0.04887625397069599,1.8197157206362984,0.12872340425531917,0.07574856828611522,-0.12872340425531917,0.09822695035460989,0.04846398907725565,0.023244491220085702,-0.03514999810369024,0.030604543558235647,0.06438350969014299,0.023998748435544424,-0.04941024765805746,0.034292866082603256,0.06438350969014299,0.023998748435544424,-0.04941024765805746,0.034292866082603256,0.05728182955967687,0.024768176129252473,-0.043873023097053175,0.03761140819964348,52.14884809080098
multimodal,krr,absolute residual,0.8913333333333333,0.007423685817106745,-0.008666666666666675,3.803046543633396,0.04929302009624386,3.803046543633396,0.048226950354609964,0.020256144043690985,-0.04361702127659576,0.030718322145105614,,,,,,,,,,,,,,,,,0.0
multimodal,krr,gmm density level set (2 comp),0.8915555555555555,0.007726817178095003,-0.008444444444444477,3.8076174589934904,0.04686418127485091,3.807617458993491,0.048226950354609964,0.02003451283801723,-0.04184397163120571,0.030718322145105614,,,,,,,,,,,,,,,,,-0.12019088663920383
multimodal,krr,blended normalized residual gamma=0.75,0.8942222222222221,0.013487991915994188,-0.005777777777777808,4.143939564962227,0.1272782968587389,3.927102169284431,0.04212841809838056,0.0216847764250768,-0.04212841809838056,0.03426442143588574,,,,,,,,,,,,,,,,,-8.96368260071687
multimodal,krr,oracle local normalization,0.8831111111111111,0.0184912391668575,-0.016888888888888915,4.287568304303594,0.11031342972333204,4.267903535917977,0.22624113475177307,0.09822481700610612,-0.22624113475177307,0.09468085106382977,,,,,,,,,,,,,,,,,-12.7403584234678
multimodal,krr,blended normalized residual gamma=0.50,0.8973333333333334,0.0046666666666666246,-0.002666666666666669,5.153402413693649,0.19912034886071403,4.653863185812664,0.04645390070921988,0.018345374900443735,-0.043873023097053175,0.03603747108127583,,,,,,,,,,,,,,,,,-35.507213876223965
multimodal,krr,blended normalized residual gamma=0.25,0.9015555555555554,0.013700500126042998,0.0015555555555554952,7.509753435438502,0.4044011793285642,6.493822984709545,0.05106382978723404,0.021152150415291834,-0.03499829332119697,0.04312966966283612,,,,,,,,,,,,,,,,,-97.46677694519491
multimodal,krr,stabilized normalized residual,0.9053333333333334,0.009404490653110583,0.005333333333333301,18.12258185536709,1.7684797160248074,15.076004222712905,0.05460992907801421,0.021813488451473437,-0.036752379868775366,0.04858156028368795,,,,,,,,,,,,,,,,,-376.52800583536754
multimodal,krr,locally normalized residual,0.9037777777777777,0.012388764324236783,0.003777777777777769,331.1319822025786,73.01875636302178,259.18070229818983,0.05486593089847158,0.02265568703303371,-0.035007774870102794,0.052013880987598106,,,,,,,,,,,,,,,,,-8607.018922945344
